iter	MultiClass
0	1.074388891
1	1.05253421
2	1.035130443
3	1.019691348
4	1.005265171
5	0.9925906107
6	0.9822993006
7	0.9717578938
8	0.9634656534
9	0.9551009135
10	0.9467995809
11	0.9397785721
12	0.9326061974
13	0.9266727289
14	0.9207727293
15	0.9159418697
16	0.9114136711
17	0.9069614342
18	0.9032801998
19	0.9000267876
20	0.8967202231
21	0.8934392939
22	0.8902332485
23	0.8872817617
24	0.8840027665
25	0.8810433901
26	0.8786550593
27	0.8766200105
28	0.8745188852
29	0.872036629
30	0.8701194376
31	0.8678171691
32	0.8658449012
33	0.8647987931
34	0.8635112388
35	0.8615255435
36	0.8596158426
37	0.8583200244
38	0.8569650521
39	0.8553542164
40	0.8542309455
41	0.8527069562
42	0.8514580072
43	0.8503069689
44	0.8493451871
45	0.8485139786
46	0.8473017248
47	0.8461630989
48	0.8449561756
49	0.8437490053
50	0.8429330047
51	0.8416564784
52	0.8409662809
53	0.8402536215
54	0.8391540061
55	0.8382002351
56	0.8372077052
57	0.8361300918
58	0.8355054521
59	0.8346377078
60	0.8339992988
61	0.8335995846
62	0.8330933483
63	0.8324119186
64	0.8314090213
65	0.8304482015
66	0.8298477316
67	0.8291197197
68	0.8282860087
69	0.8277406849
70	0.8273278205
71	0.8267011219
72	0.8262436653
73	0.8259250739
74	0.8253525791
75	0.8248772779
76	0.8243955562
77	0.8238601764
78	0.8230085074
79	0.8226021452
80	0.8221558625
81	0.8215662696
82	0.8211804371
83	0.8206131063
84	0.8201708469
85	0.81976199
86	0.8193330096
87	0.8187744841
88	0.8182802355
89	0.8179396468
90	0.8175869867
91	0.8171191011
92	0.8167714456
93	0.8160820247
94	0.8156176784
95	0.8150679077
96	0.8143855871
97	0.8140340917
98	0.8134526974
99	0.8129843547
100	0.8125281411
101	0.8122012726
102	0.8117253879
103	0.8114061714
104	0.8106561406
105	0.8104103554
106	0.8100122344
107	0.8096420244
108	0.8093910158
109	0.8088206569
110	0.8086621688
111	0.8083108526
112	0.8078553406
113	0.8074455576
114	0.8071260195
115	0.8067212012
116	0.806102149
117	0.8057352909
118	0.8052756052
119	0.8048828192
120	0.8045221747
121	0.8041686858
122	0.8037402964
123	0.803396775
124	0.8032201507
125	0.8029857744
126	0.8026116699
127	0.8022587576
128	0.8019707175
129	0.8016944198
130	0.8010483309
131	0.8006654807
132	0.8002654127
133	0.7999604902
134	0.7995400112
135	0.7992620545
136	0.7987552963
137	0.7983178667
138	0.7979868192
139	0.7974194275
140	0.7969944242
141	0.7966461679
142	0.7964879975
143	0.7961037722
144	0.795720065
145	0.79539717
146	0.7949727432
147	0.7944907653
148	0.7940258792
149	0.7937588149
150	0.7934545116
151	0.7931300889
152	0.7926553799
153	0.7923905288
154	0.7919552718
155	0.7916662801
156	0.7914219034
157	0.7912505616
158	0.7909472582
159	0.790578509
160	0.7901934267
161	0.7899614663
162	0.7896840728
163	0.7893870973
164	0.789213041
165	0.7889419622
166	0.788666374
167	0.7884304106
168	0.7881452881
169	0.7879650819
170	0.7876782647
171	0.7873724955
172	0.7870435831
173	0.7866764228
174	0.7863964767
175	0.7859805587
176	0.7856143324
177	0.7851957015
178	0.7849144824
179	0.7846749629
180	0.7844756579
181	0.7842161171
182	0.7839997907
183	0.7837344438
184	0.7833914222
185	0.7830011927
186	0.782473194
187	0.7820863433
188	0.7816989017
189	0.7812804459
190	0.7809914043
191	0.7808791298
192	0.7807472591
193	0.7803557873
194	0.7801014058
195	0.7798498014
196	0.7795320956
197	0.7792252603
198	0.7789406379
199	0.7787900842
200	0.7785168002
201	0.7782250066
202	0.7780446738
203	0.7775386448
204	0.77725328
205	0.7770943953
206	0.7768760716
207	0.7766667101
208	0.7763393367
209	0.7760221248
210	0.7757262343
211	0.7752303244
212	0.7750873274
213	0.7746394442
214	0.7743453689
215	0.774127169
216	0.7738049028
217	0.7735475965
218	0.773370515
219	0.7730202115
220	0.7725836791
221	0.7723682175
222	0.7721453527
223	0.7717959435
224	0.7716279258
225	0.7714778239
226	0.7712843303
227	0.7710660551
228	0.7707142361
229	0.7704916785
230	0.7701896863
231	0.7696978883
232	0.7694269437
233	0.7690767432
234	0.7689407097
235	0.7687427196
236	0.7684326998
237	0.7682764024
238	0.7678172482
239	0.7674229352
240	0.7671307323
241	0.7666234224
242	0.7664493863
243	0.7662568448
244	0.7660163403
245	0.7657713277
246	0.7656528478
247	0.7654161189
248	0.7652673765
249	0.7650870409
250	0.7649509438
251	0.7645698912
252	0.7644648713
253	0.7642387502
254	0.7640784465
255	0.7639066385
256	0.7635391542
257	0.7633560089
258	0.7630846993
259	0.762863776
260	0.7625932067
261	0.7622611
262	0.7620244553
263	0.7616259661
264	0.7615121493
265	0.7612519264
266	0.7610633957
267	0.7607912169
268	0.7605505155
269	0.7602774977
270	0.7598918
271	0.7597007376
272	0.7593881854
273	0.7592020772
274	0.7588590264
275	0.7585640344
276	0.7583303228
277	0.758121813
278	0.7578804648
279	0.7576339773
280	0.7574658233
281	0.757334041
282	0.7571120041
283	0.7569227473
284	0.7567062359
285	0.756438214
286	0.7562004481
287	0.7560301556
288	0.7557812102
289	0.7554789418
290	0.7554064652
291	0.7551974215
292	0.7551370514
293	0.7550186947
294	0.7548898457
295	0.7546322321
296	0.7543700682
297	0.7540852641
298	0.7539232718
299	0.7537342788
300	0.753655554
301	0.7532975253
302	0.7530687056
303	0.7528860215
304	0.7526572616
305	0.7523451298
306	0.7522711029
307	0.7520919532
308	0.7519756518
309	0.7518153889
310	0.7516439413
311	0.7515722655
312	0.7513948123
313	0.7512244156
314	0.7509840312
315	0.7507512981
316	0.750508136
317	0.7503698454
318	0.7501114491
319	0.7498834849
320	0.749626947
321	0.7493034228
322	0.7492017366
323	0.749049492
324	0.7488189573
325	0.7485988468
326	0.7483070149
327	0.7480840088
328	0.7478687403
329	0.7476902442
330	0.7474330913
331	0.7471331747
332	0.7469271495
333	0.7467699049
334	0.7464715138
335	0.7461424732
336	0.7459203589
337	0.7456372769
338	0.7454215577
339	0.7451436018
340	0.7448676235
341	0.7446342294
342	0.744448069
343	0.7442511428
344	0.74399467
345	0.7438226889
346	0.7435438119
347	0.7433877669
348	0.7431480469
349	0.7429630818
350	0.7426546579
351	0.742340527
352	0.7421584274
353	0.7420119346
354	0.7417598793
355	0.7416818405
356	0.7414057333
357	0.7412270832
358	0.7409360948
359	0.7406213658
360	0.7403775528
361	0.7402984339
362	0.7401145643
363	0.7399373932
364	0.7398155146
365	0.7397304873
366	0.7396222168
367	0.7393858795
368	0.739194873
369	0.7390817127
370	0.7389071513
371	0.7387568144
372	0.7385793562
373	0.738441843
374	0.7382928067
375	0.738050213
376	0.7379488073
377	0.7378144817
378	0.737394476
379	0.7372404603
380	0.7371344961
381	0.7370016699
382	0.7368615271
383	0.7366781485
384	0.7364754242
385	0.7363843232
386	0.7360158111
387	0.7358565769
388	0.7356846511
389	0.7354227607
390	0.7351527185
391	0.7349206947
392	0.7345663961
393	0.7343836725
394	0.7342436777
395	0.733969392
396	0.7338383183
397	0.7336972482
398	0.7334165343
399	0.7330978842
400	0.7328340157
401	0.7325644864
402	0.7324064606
403	0.7321773206
404	0.731900532
405	0.7316488313
406	0.7314758418
407	0.7313153984
408	0.7311888943
409	0.7309696798
410	0.7307992628
411	0.730660874
412	0.7304294654
413	0.7302715102
414	0.7297568175
415	0.7295537249
416	0.7293301382
417	0.7291563459
418	0.7287994221
419	0.7285223275
