iter	Passed	Remaining
0	2	1191
1	5	1116
2	7	1004
3	9	944
4	11	917
5	12	884
6	14	862
7	16	849
8	18	840
9	20	824
10	22	818
11	23	809
12	25	802
13	27	794
14	29	788
15	30	779
16	32	777
17	34	773
18	36	769
19	38	765
20	40	761
21	41	758
22	43	755
23	45	753
24	47	749
25	49	749
26	51	746
27	53	744
28	55	742
29	56	740
30	58	738
31	60	736
32	62	733
33	64	730
34	66	730
35	68	728
36	70	726
37	72	724
38	74	723
39	75	719
40	77	717
41	79	714
42	81	713
43	83	711
44	85	708
45	86	706
46	88	704
47	91	711
48	115	877
49	117	872
50	124	899
51	126	896
52	128	890
53	130	884
54	132	879
55	134	873
56	136	867
57	138	862
58	140	857
59	142	852
60	143	847
61	145	842
62	147	837
63	149	832
64	151	827
65	153	822
66	155	817
67	157	813
68	158	808
69	160	804
70	163	801
71	165	797
72	166	793
73	168	789
74	170	784
75	172	781
76	174	778
77	176	774
78	178	770
79	180	766
80	182	764
81	184	760
82	186	756
83	188	753
84	190	750
85	192	747
86	194	743
87	196	739
88	198	736
89	199	733
90	201	729
91	203	727
92	205	724
93	207	720
94	209	717
95	211	713
96	213	710
97	215	707
98	217	704
99	219	701
100	221	698
101	223	695
102	225	692
103	226	689
104	228	686
105	230	683
106	232	679
107	234	676
108	236	674
109	238	671
110	240	668
111	242	665
112	244	663
113	246	662
114	248	659
115	250	656
116	252	653
117	254	650
118	256	647
119	258	645
120	260	642
121	261	639
122	263	637
123	265	634
124	267	631
125	269	628
126	271	626
127	273	623
128	275	621
129	277	618
130	279	615
131	281	613
132	282	610
133	285	608
134	286	605
135	288	602
136	290	600
137	292	597
138	294	594
139	296	592
140	298	590
141	300	587
142	301	584
143	303	582
144	305	579
145	307	577
146	309	574
147	311	571
148	313	569
149	314	566
150	316	564
151	319	562
152	321	560
153	323	557
154	324	555
155	326	552
156	328	550
157	330	547
158	332	545
159	334	543
160	336	540
161	338	538
162	340	536
163	342	535
164	344	532
165	346	530
166	348	528
167	350	525
168	352	523
169	354	521
170	356	518
171	358	516
172	359	513
173	362	511
174	364	509
175	366	507
176	367	505
177	369	502
178	371	500
179	373	498
180	375	496
181	378	494
182	380	492
183	382	490
184	384	487
185	385	485
186	388	484
187	391	482
188	393	480
189	395	478
190	396	475
191	398	473
192	400	471
193	402	469
194	404	467
195	406	464
196	408	462
197	410	460
198	412	457
199	414	455
200	415	453
201	417	450
202	419	448
203	421	446
204	423	444
205	425	441
206	427	439
207	429	437
208	431	435
209	433	433
210	435	431
211	437	429
212	439	426
213	441	424
214	443	422
215	444	420
216	446	418
217	448	415
218	450	413
219	452	411
220	454	409
221	456	407
222	458	404
223	460	402
224	462	400
225	464	398
226	466	396
227	468	394
228	470	392
229	472	390
230	474	387
231	476	385
232	478	383
233	480	381
234	482	379
235	483	377
236	485	375
237	487	373
238	489	371
239	491	368
240	494	367
241	496	365
242	498	363
243	500	360
244	502	358
245	504	356
246	506	354
247	508	352
248	510	350
249	512	348
250	514	346
251	516	344
252	518	342
253	520	340
254	522	338
255	524	335
256	526	333
257	528	331
258	530	329
259	532	327
260	534	325
261	536	323
262	538	321
263	540	319
264	542	317
265	544	315
266	546	313
267	548	311
268	550	309
269	552	307
270	554	305
271	556	302
272	558	300
273	560	298
274	563	297
275	565	295
276	567	292
277	569	290
278	571	288
279	572	286
280	575	284
281	577	282
282	579	280
283	581	278
284	582	276
285	585	274
286	586	272
287	588	269
288	590	267
289	592	265
290	594	263
291	596	261
292	598	259
293	600	257
294	602	255
295	604	253
296	606	251
297	608	248
298	610	246
299	612	244
300	613	242
301	615	240
302	617	238
303	619	236
304	621	234
305	623	232
306	625	230
307	627	228
308	629	226
309	631	224
310	633	221
311	635	219
312	637	217
313	639	215
314	641	213
315	643	211
316	645	209
317	647	207
318	648	205
319	650	203
320	652	201
321	654	199
322	656	197
323	658	195
324	660	193
325	662	190
326	664	188
327	666	186
328	667	184
329	669	182
330	671	180
331	673	178
332	675	176
333	677	174
334	680	172
335	682	170
336	684	168
337	685	166
338	687	164
339	689	162
340	691	160
341	693	158
342	695	156
343	697	154
344	699	152
345	701	149
346	703	147
347	704	145
348	706	143
349	708	141
350	711	139
351	712	137
352	715	135
353	717	133
354	719	131
355	721	129
356	723	127
357	725	125
358	727	123
359	728	121
360	730	119
361	732	117
362	734	115
363	736	113
364	738	111
365	740	109
366	742	107
367	744	105
368	746	103
369	748	101
370	750	99
371	752	97
372	753	94
373	755	92
374	757	90
375	759	88
376	761	86
377	763	84
378	765	82
379	767	80
380	769	78
381	771	76
382	772	74
383	774	72
384	777	70
385	779	68
386	782	66
387	792	65
388	795	63
389	798	61
390	801	59
391	803	57
392	805	55
393	806	53
394	808	51
395	810	49
396	812	47
397	814	45
398	816	42
399	818	40
400	820	38
401	822	36
402	824	34
403	826	32
404	828	30
405	830	28
406	832	26
407	834	24
408	836	22
409	838	20
410	839	18
411	841	16
412	843	14
413	845	12
414	847	10
415	849	8
416	852	6
417	854	4
418	855	2
419	857	0
