id,title,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,belongs_to_collection,missingness_score,has_tagline,has_homepage,num_same_title,changed_title,num_genres,main_genre,Comedy,Drama,Documentary,Science Fiction,Western,TV Movie,Mystery,Romance,Thriller,Animation,Family,Adventure,War,Music,History,Action,Fantasy,Crime,Horror,top10_prod_comps,num_production_companies,main_production_country,num_production_countries,num_spoken_languages,lang_group,is_english_spoken,popularity_percentile,weighted_rating,release_year,Season,return_on_investment_ratio,profit_loss
5,Four Rooms,98,1995-12-09,4000000,4257354,6.0785,5.9,2687,0,0,1,1,1,False,2,Comedy,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Other,2,United States of America,1,1,1,True,79.50366723600925,5.900160609029104,1995,Winter,0.0643385,257354
6,Judgment Night,109,1993-10-15,21000000,12136938,3.1484,6.458,349,0,0,1,0,1,False,3,Action,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,Universal Pictures,3,United States of America,1,1,1,True,52.86848186476439,6.457639191629228,1993,Fall,-0.42205057142857144,-8863062
11,Star Wars,121,1977-05-25,11000000,775398007,49.0688,8.203,21079,1,0,1,1,1,False,3,Adventure,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,20th Century Fox,2,United States of America,1,1,1,True,99.68853611976289,8.202911229462535,1977,Spring,69.49072790909091,764398007
12,Finding Nemo,100,2003-05-30,94000000,940335536,19.0085,7.816,19605,1,0,1,1,1,False,2,Animation,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,Pixar,1,United States of America,1,1,1,True,98.03074449914598,7.815924294454261,2003,Spring,9.003569531914893,846335536
13,Forrest Gump,142,1994-06-23,55000000,677387716,26.9118,8.468,28122,0,0,1,1,1,False,3,Comedy,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Paramount Pictures,3,United States of America,1,1,1,True,99.03546669345926,8.467924037871857,1994,Summer,11.316140290909091,622387716
14,American Beauty,122,1999-09-15,15000000,356296601,8.3612,8.008,12321,0,0,1,0,1,False,1,Drama,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,2,United States of America,1,1,1,True,88.31508088013665,8.007863960158272,1999,Fall,22.753106733333333,341296601
15,Citizen Kane,119,1941-04-17,839727,23218000,5.174,7.999,5651,0,0,1,0,1,False,2,Mystery,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Other,2,United States of America,1,1,1,True,74.09826183060385,7.998705010097351,1941,Spring,26.649462265712547,22378273
16,Dancer in the Dark,140,2000-09-01,12500000,40061153,2.952,7.873,1844,0,0,1,0,1,False,2,Drama,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Other,15,Denmark,8,1,1,True,49.894504169597106,7.872164616298227,2000,Fall,2.20489224,27561153
18,The Fifth Element,126,1997-05-02,90000000,263920180,16.2533,7.553,10988,0,0,1,1,1,True,3,Science Fiction,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,Other,1,France,1,3,3,True,97.15663619009344,7.552888863142255,1997,Spring,1.9324464444444445,173920180
19,Metropolis,153,1927-02-06,5300000,1350322,11.3404,8.1,2842,0,0,1,0,2,False,2,Drama,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,1,Germany,1,1,1,False,93.46930573696372,8.099378022184393,1927,Winter,-0.7452222641509434,-3949678
