id,imdb_id,title,original_title,overview,tagline,status,runtime,release_date,budget,revenue,popularity,vote_average,vote_count,genres,production_companies,production_countries,spoken_languages,homepage,adult,original_language,belongs_to_collection,poster_path,backdrop_path
2,tt0094675,Ariel,Ariel,A Finnish man goes to the city to find a job after the mine where he worked is closed and his father commits suicide.,,Released,73,10/21/1988,0,0,1.6203,7.1,346,"Comedy, Drama, Romance, Crime",Villealfa Filmproductions,Finland,Finnish,,FALSE,fi,Aki Kaurismֳ₪ki's Proletariat Trilogy,/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,/hQ4pYsIbP22TMXOUdSfC2mjWrO0.jpg
3,tt0092149,Shadows in Paradise,Varjoja paratiisissa,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them.",,Released,74,10/17/1986,0,0,1.4646,7.295,410,"Comedy, Drama, Romance",Villealfa Filmproductions,Finland,"Finnish, English, Swedish",,FALSE,fi,Aki Kaurismֳ₪ki's Proletariat Trilogy,/nj01hspawPof0mJmlgfjuLyJuRN.jpg,/l94l89eMmFKh7na2a1u5q67VgNx.jpg
5,tt0113101,Four Rooms,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Released,98,12/09/1995,4000000,4257354,6.0785,5.9,2687,"Comedy, Crime","Miramax, A Band Apart",United States of America,English,https://www.miramax.com/movie/four-rooms/,FALSE,en,,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,/f2t4JbUvQIjUF5FstG1zZFAp02N.jpg
6,tt0107286,Judgment Night,Judgment Night,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives.",Don't move. Don't whisper. Don't even breathe.,Released,109,10/15/1993,21000000,12136938,3.1484,6.458,349,"Action, Crime, Thriller","Largo Entertainment, JVC, Universal Pictures",United States of America,English,,FALSE,en,,/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,/iUUpKunmBN5l8goObADBaFHnxQ8.jpg
8,tt0825671,Life in Loops (A Megacities RMX),Life in Loops (A Megacities RMX),"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",A Megacities remix.,Released,80,01/01/2006,42000,0,0.3468,7.15,30,Documentary,inLoops,Austria,"English, Hindi, Japanese, Russian, Spanish",http://lifeinloops.com,FALSE,en,,/7ln81BRnPR2wqxuITZxEciCe1lc.jpg,
9,tt0425473,Sunday in August,Sonntag im August,,,Released,15,09/02/2004,0,0,0.4365,6.8,28,Drama,,Germany,German,,FALSE,de,,,
11,tt0076759,Star Wars,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,"A long time ago in a galaxy far, far away...",Released,121,5/25/1977,11000000,775398007,49.0688,8.203,21079,"Adventure, Action, Science Fiction","Lucasfilm Ltd., 20th Century Fox",United States of America,English,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,FALSE,en,Star Wars Collection,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,/2w4xG178RpB4MDAIfTkqAuSJzec.jpg
12,tt0266543,Finding Nemo,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",There are 3.7 trillion fish in the ocean. They're looking for one.,Released,100,5/30/2003,94000000,940335536,19.0085,7.816,19605,"Animation, Family",Pixar,United States of America,English,http://movies.disney.com/finding-nemo,FALSE,en,Finding Nemo Collection,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,/eCynaAOgYYiw5yN5lBwz3IxqvaW.jpg
13,tt0109830,Forrest Gump,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic eventsג€”in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",The world will never be the same once you've seen it through the eyes of Forrest Gump.,Released,142,6/23/1994,55000000,677387716,26.9118,8.468,28122,"Comedy, Drama, Romance","Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions",United States of America,English,https://www.paramountmovies.com/movies/forrest-gump,FALSE,en,,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,/ghgfzbEV7kbpbi1O8eIILKVXEA8.jpg
14,tt0169547,American Beauty,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Look closer.,Released,122,9/15/1999,15000000,356296601,8.3612,8.008,12321,Drama,"DreamWorks Pictures, Jinks/Cohen Company",United States of America,English,,FALSE,en,,/s5PXkDqS8W3K4wCPNZBzf10zycw.jpg,/DztBnZaqmla2sGUW9s8AyOmskT.jpg
